FileName,images,loc,ean,name,variant,price,MPN,description,category
%C3%A4rmellose-bluse-aus-reinem-leinen-ww0ww32437dw5.txt,"https://tommy-europe.scene7.com/is/image/TommyEurope/WW0WW32437_DW5_main?$main$,//tommy-europe.scene7.com/is/image/TommyEurope/WW0WW32437_DW5_alternate1?$main$,//tommy-europe.scene7.com/is/image/TommyEurope/WW0WW32437_DW5_alternate2?$main$,//tommy-europe.scene7.com/is/image/TommyEurope/WW0WW32437_DW5_alternate3?$main$",https://de.tommy.com/%C3%A4rmellose-bluse-aus-reinem-leinen-ww0ww32437dw5,"8720114778481,8720114778498,8720114778603,8720114778610,8720114778627,8720114778634,8720114778641,8720114778658","Ärmellose Bluse aus reinem Leinen","DESERT SKY",79.9,WW0WW32437DW5,"Ob Büro oder Freizeit: Dank smarter Knopfleiste und dezentem Tommy Hilfiger-Branding kommst du in dieser Leinenbluse spielend durch die Woche.",Blusen
%C3%A4rmelloser-hoodie-mit-logo-und-rei%C3%9Fverschluss-dw0dw09799pj4.txt,"https://tommy-europe.scene7.com/is/image/TommyEurope/DW0DW09799_PJ4_main?$main$,//tommy-europe.scene7.com/is/image/TommyEurope/DW0DW09799_PJ4_alternate1?$main$,//tommy-europe.scene7.com/is/image/TommyEurope/DW0DW09799_PJ4_alternate2?$main$,//tommy-europe.scene7.com/is/image/TommyEurope/DW0DW09799_PJ4_alternate3?$main$",https://de.tommy.com/%C3%A4rmelloser-hoodie-mit-logo-und-rei%C3%9Fverschluss-dw0dw09799pj4,"8720113490797,8720113491121,8720113491220,8720113491435,8720113491602,8720113491725","Ärmelloser Hoodie mit Logo und Reißverschluss","SILVER GREY HTR",99.9,DW0DW09799PJ4,"Mit dem auffälligen Tommy Jeans-Logo auf der Rückseite bringt dieser lagenlooktaugliche Hoodie College-Vibes in deine Alltagsoutfits.","Sweatshirts & Kapuzenpullover"
%C3%A4rmelloses-faltenkleid-in-midi-l%C3%A4nge-ww0ww306430ks.txt,"https://tommy-europe.scene7.com/is/image/TommyEurope/WW0WW30643_0KS_main?$main$,//tommy-europe.scene7.com/is/image/TommyEurope/WW0WW30643_0KS_alternate1?$main$,//tommy-europe.scene7.com/is/image/TommyEurope/WW0WW30643_0KS_alternate2?$main$,//tommy-europe.scene7.com/is/image/TommyEurope/WW0WW30643_0KS_alternate3?$main$",https://de.tommy.com/%C3%A4rmelloses-faltenkleid-in-midi-l%C3%A4nge-ww0ww306430ks,"8720113962522,8720113962591,8720113962775,8720113962829,8720113962874,8720113963079,8720113963161,8720113963246","Ärmelloses Faltenkleid in Midi-Länge","FIREWORKS/ DSRT SKY/ WHT COLORBLOCK",179.0,WW0WW306430KS,"Dieses schlicht geschnittene, angenehm zu tragende, ärmellose Kleid sorgt mit Color Block-Design und eleganten Falten für den Wow-Faktor.","Kleider & Jumpsuits"
%C3%A4rmelloses-gestreiftes-cropped-fit-top-dw0dw097810ax.txt,"https://tommy-europe.scene7.com/is/image/TommyEurope/DW0DW09781_0AX_main?$main$,//tommy-europe.scene7.com/is/image/TommyEurope/DW0DW09781_0AX_alternate1?$main$,//tommy-europe.scene7.com/is/image/TommyEurope/DW0DW09781_0AX_alternate2?$main$,//tommy-europe.scene7.com/is/image/TommyEurope/DW0DW09781_0AX_alternate3?$main$",https://de.tommy.com/%C3%A4rmelloses-gestreiftes-cropped-fit-top-dw0dw097810ax,"8720113515377,8720113515414,8720113515452,8720113515483,8720113515605,8720113515629","Ärmelloses gestreiftes Cropped Fit Top","BLACK STRIPE",44.9,DW0DW097810AX,"Die auffälligen Streifen und das Punto di Roma-Stretch-Gewebe machen dieses ärmellose Cropped Fit Top zum Statement-Teil für jeden Tag.",Kleidung
%C3%A4rmelloses-kleid-kg0kg05828c87.txt,"https://tommy-europe.scene7.com/is/image/TommyEurope/KG0KG05828_C87_main?$main$,//tommy-europe.scene7.com/is/image/TommyEurope/KG0KG05828_C87_alternate1?$main$,//tommy-europe.scene7.com/is/image/TommyEurope/KG0KG05828_C87_alternate2?$main$,//tommy-europe.scene7.com/is/image/TommyEurope/KG0KG05828_C87_alternate3?$main$",https://de.tommy.com/%C3%A4rmelloses-kleid-kg0kg05828c87,"8720113720214,8720113720252,8720113720283,8720113720405","Ärmelloses Kleid","TWILIGHT NAVY",74.9,KG0KG05828C87,"Dieses sportliche Kleid aus Bio-Baumwoll-Terry mit Stretch hat eine bequeme Passform und Kontrast-Tape an den Seiten.",Kleider
%C3%A4rmelloses-kleid-mit-nadelstreifen-ww0ww304970y6.txt,"https://tommy-europe.scene7.com/is/image/TommyEurope/WW0WW30497_0Y6_main?$main$,//tommy-europe.scene7.com/is/image/TommyEurope/WW0WW30497_0Y6_alternate1?$main$,//tommy-europe.scene7.com/is/image/TommyEurope/WW0WW30497_0Y6_alternate2?$main$,//tommy-europe.scene7.com/is/image/TommyEurope/WW0WW30497_0Y6_alternate3?$main$",https://de.tommy.com/%C3%A4rmelloses-kleid-mit-nadelstreifen-ww0ww304970y6,"8720113988225,8720113988249,8720113988263,8720113988270,8720113988287,8720113988294,8720113988409,8720113988416","Ärmelloses Kleid mit Nadelstreifen","WIDE PINSTRIPE STP/ DESERT SKY",179.0,WW0WW304970Y6,"Zeig dich im professionellen Look in diesem schmal geschnittenen Fit-and-Flare-Kleid mit sachlichen Nadelstreifen und Taillengürtel.","Kleider & Jumpsuits"
%C3%A4rmelloses-kleid-mit-neon-streifen-kg0kg05819dw9.txt,"https://tommy-europe.scene7.com/is/image/TommyEurope/KG0KG05819_DW9_main?$main$,//tommy-europe.scene7.com/is/image/TommyEurope/KG0KG05819_DW9_alternate1?$main$",https://de.tommy.com/%C3%A4rmelloses-kleid-mit-neon-streifen-kg0kg05819dw9,"8720113727404,8720113727435,8720113727466,8720113727510,8720113727558,8720113727596,8720113727732,8720113727770,8720113727831,8720113727893,8720113727947,8720113727985,8720113728128,8720113728173","Ärmelloses Kleid mit Neon-Streifen",BLUEFISH,74.9,KG0KG05819DW9,"Für einen coolen Auftritt sorgt dieses Kleid aus Bio-Baumwollmix mit Stretch, Neon-Streifen und Tommy Hilfiger-Logo an den Schulterträgern.",Kleider
%C3%A4rmelloses-kleid-mit-streifen-kn0kn01297ybr.txt,"https://tommy-europe.scene7.com/is/image/TommyEurope/KN0KN01297_YBR_main?$main$,//tommy-europe.scene7.com/is/image/TommyEurope/KN0KN01297_YBR_alternate1?$main$",https://de.tommy.com/%C3%A4rmelloses-kleid-mit-streifen-kn0kn01297ybr,"8720113726674,8720113727008,8720113727022,8720113727053,8720113727084,8720113727138,8720113727183","Ärmelloses Kleid mit Streifen",WHITE,69.9,KN0KN01297YBR,"Dank Knöpfen hinten auf halber Länger ist dieses ärmellose, gestreifte Babykleid aus Jersey mit geraffter Taille schnell an- und ausgezogen.",Kids_Test
%C3%A4rmelloses-maxi-kleid-kg0kg05823c87.txt,"https://tommy-europe.scene7.com/is/image/TommyEurope/KG0KG05823_C87_main?$main$,//tommy-europe.scene7.com/is/image/TommyEurope/KG0KG05823_C87_alternate1?$main$,//tommy-europe.scene7.com/is/image/TommyEurope/KG0KG05823_C87_alternate2?$main$,//tommy-europe.scene7.com/is/image/TommyEurope/KG0KG05823_C87_alternate3?$main$",https://de.tommy.com/%C3%A4rmelloses-maxi-kleid-kg0kg05823c87,"8720113710000,8720113710031,8720113710079,8720113710208,8720113710246,8720113710284,8720113710413,8720113710468,8720113710499,8720113710635,8720113710659,8720113710680,8720113711007,8720113711069","Ärmelloses Maxi-Kleid","TWILIGHT NAVY",84.9,KG0KG05823C87,"Vintage-Vibes ohne Ende versprüht dieses abgestufte Maxi-Kleid mit Tommy-Tape an den Schulterträgern und Tommy Hilfiger-Logomuster.",Kleider
%C3%A4rmelloses-poloshirt-mit-tommy-badge-dw0dw10119bds.txt,"https://tommy-europe.scene7.
com/is/image/TommyEurope/DW0DW10119_BDS_main?$main$,//tommy-europe.scene7.com/is/image/TommyEurope/DW0DW10119_BDS_alternate1?$main$,//tommy-europe.scene7.com/is/image/TommyEurope/DW0DW10119_BDS_alternate2?$main$,//tommy-europe.scene7.com/is/image/TommyEurope/DW0DW10119_BDS_alternate3?$main$",https://de.tommy.com/%C3%A4rmelloses-poloshirt-mit-tommy-badge-dw0dw10119bds,"8720113480132,8720113480163,8720113480316,8720113480385,8720113480484,8720113480583","Ärmelloses Poloshirt mit Tommy-Badge",BLACK,49.9,DW0DW10119BDS,"Bei diesem ärmellosen Poloshirt aus strukturierter, reiner Bio-Baumwolle sorgt der Fade-Effekt für einen lässigen Look.",Poloshirts
