id,name,variant,price,brand,image_name,image_url,category
211004-19678_1001,Bleistiftrock mit Karomuster,schwarz patch,59.99,gerry weber,bleistiftrock-mit-karomuster-01.jpg,https://pic.gerryweber.com/static/i/11_211004-19678_1001_01/pdmain/bleistiftrock-mit-karomuster-01.jpg,Röcke
260031-19090_5000,Ärmellose Bluse mit Stehkragen,grün gemustert,59.99,gerry weber,aermellose-bluse-mit-stehkragen-01.jpg,https://pic.gerryweber.com/static/i/11_260031-19090_5000_01/pdmain/aermellose-bluse-mit-stehkragen-01.jpg,Oberteile
272059-19545_99700,Struktur-Pullover mit Schößchen,off-white,69.99,gerry weber,struktur-pullover-mit-schoesschen-01.jpg,https://pic.gerryweber.com/static/i/11_272059-19545_99700_01/pdmain/struktur-pullover-mit-schoesschen-01.jpg,Oberteile
281025-19674_6006,Jacquard-Kleid mit dreiviertel Arm,"rot, orange streifen",89.99,gerry weber,jacquard-kleid-mit-34-arm-01.jpg,https://pic.gerryweber.com/static/i/11_281025-19674_6006_01/pdmain/jacquard-kleid-mit-34-arm-01.jpg,Kleider
311011-19678_11000,Bleistiftrock aus Jersey,schwarz,49.99,gerry weber,bleistiftrock-aus-jersey-01.jpg,https://pic.gerryweber.com/static/i/11_311011-19678_11000_01/pdmain/bleistiftrock-aus-jersey-01.jpg,Röcke
320032-19090_50857,siebenachtel Hose Boyfriend TS,olive branch,89.99,gerry weber,78-hose-boyfriend-ts-01.jpg,https://pic.gerryweber.com/static/i/11_320032-19090_50857_01/pdmain/78-hose-boyfriend-ts-01.jpg,Hosen
320035-19117_11000,Stretchhose Super Skinny Low,schwarz,89.99,gerry weber,stretchhose-super-skinny-low-01.jpg,https://pic.gerryweber.com/static/i/11_320035-19117_11000_01/pdmain/stretchhose-super-skinny-low-01.jpg,Hosen
320035-19117_99700,Stretchhose Super Skinny Low,off-white,89.99,gerry weber,stretchhose-super-skinny-low-01.jpg,https://pic.gerryweber.com/static/i/11_320035-19117_99700_01/pdmain/stretchhose-super-skinny-low-01.jpg,Hosen
320039-19125_83500,Jeans Skinny TS,blue denim,89.99,gerry weber,jeans-skinny-ts-01.jpg,https://pic.gerryweber.com/static/i/11_320039-19125_83500_01/pdmain/jeans-skinny-ts-01.jpg,Hosen
320111-19094_2010,Lässige siebenachtel Lounge Pants TS,carbon grey,99.99,gerry weber,laessige-78-lounge-pants-ts-01.jpg,https://pic.gerryweber.com/static/i/11_320111-19094_2010_01/pdmain/laessige-78-lounge-pants-ts-01.jpg,Hosen
330025-19091_8042,Blazer mit Stretch-Komfort,"blau, gelb ringel",79.99,gerry weber,blazer-mit-stretch-komfort-01.jpg,https://pic.gerryweber.com/static/i/11_330025-19091_8042_01/pdmain/blazer-mit-stretch-komfort-01.jpg,Jacken
330061-19096_81000,Taillierter Blazer,marine,129.99,gerry weber,taillierter-blazer-01.jpg,https://pic.gerryweber.com/static/i/11_330061-19096_81000_01/pdmain/taillierter-blazer-01.jpg,Jacken
331001-19657_11000,Offene Shirtjacke,schwarz,49.99,gerry weber,offene-shirtjacke-01.jpg,https://pic.gerryweber.com/static/i/11_331001-19657_11000_01/pdmain/offene-shirtjacke-01.jpg,Jacken
331001-19657_81000,Offene Shirtjacke,marine,49.99,gerry weber,offene-shirtjacke-01.jpg,https://pic.gerryweber.com/static/i/11_331001-19657_81000_01/pdmain/offene-shirtjacke-01.jpg,Jacken
331001-19657_9700,Offene Shirtjacke,offwhite,19.99,gerry weber,offene-shirtjacke-01.jpg,https://pic.gerryweber.com/static/i/11_331001-19657_9700_01/pdmain/offene-shirtjacke-01.jpg,Jacken
360047-19111_99700,Blusenshirt mit Wellen-Design,off-white,59.99,gerry weber,blusenshirt-mit-wellen-design-01.jpg,https://pic.gerryweber.com/static/i/11_360047-19111_99700_01/pdmain/blusenshirt-mit-wellen-design-01.jpg,Oberteile
360099-19106_3032,Blusenshirt,"lila, pink ringel",49.99,gerry weber,blusenshirt-01.jpg,https://pic.gerryweber.com/static/i/11_360099-19106_3032_01/pdmain/blusenshirt-01.jpg,Oberteile
371027-19654_99700,Blusenshirt mit Volant,off-white,39.99,gerry weber,blusenshirt-mit-volant-01.jpg,https://pic.gerryweber.com/static/i/11_371027-19654_99700_01/pdmain/blusenshirt-mit-volant-01.jpg,Oberteile
371037-19670_1103,Langarmshirt mit Ringel-Struktur,black ringel,39.99,gerry weber,langarmshirt-mit-ringel-struktur-01.jpg,https://pic.gerryweber.com/static/i/11_371037-19670_1103_01/pdmain/langarmshirt-mit-ringel-struktur-01.jpg,Oberteile
371037-19670_8104,Langarmshirt mit Ringel-Struktur,"navy, offwhite ringel",59.99,gerry weber,langarmshirt-mit-ringel-struktur-01.jpg,https://pic.gerryweber.com/static/i/11_371037-19670_8104_01/pdmain/langarmshirt-mit-ringel-struktur-01.jpg,Oberteile
371067-19692_99700,Kurzarmshirt mit Jacquardmuster,off-white,49.99,gerry weber,kurzarmshirt-mit-jacquardmuster-01.jpg,https://pic.gerryweber.com/static/i/11_371067-19692_99700_01/pdmain/kurzarmshirt-mit-jacquardmuster-01.jpg,Oberteile
371097-19694_8102,dreiviertel Arm Shirt mit Allover-Punkte-Print,navy gemustert,29.99,gerry weber,34-arm-shirt-mit-allover-punkte-print-01.jpg,https://pic.gerryweber.com/static/i/11_371097-19694_8102_01/pdmain/34-arm-shirt-mit-allover-punkte-print-01.jpg,Oberteile
381042-19669_1102,Slinkykleid mit Floral-Print,black gemustert,89.99,gerry weber,slinkykleid-mit-floral-print-01.jpg,https://pic.gerryweber.com/static/i/11_381042-19669_1102_01/pdmain/slinkykleid-mit-floral-print-01.jpg,Kleider
420014-19101_83500,Jeans Boyfriend TS,blue denim,89.99,gerry weber,jeans-boyfriend-ts-01.jpg,https://pic.gerryweber.com/static/i/11_420014-19101_83500_01/pdmain/jeans-boyfriend-ts-01.jpg,Hosen
420018-19095_1100,Jeans mit Saumaufschlag Skinny TS,black,79.99,gerry weber,jeans-mit-saumaufschlag-skinny-ts-01.jpg,https://pic.gerryweber.com/static/i/11_420018-19095_1100_01/pdmain/jeans-mit-saumaufschlag-skinny-ts-01.jpg,Hosen
420018-19095_85300,Jeans mit Saumaufschlag Skinny TS,blue denim,79.99,gerry weber,jeans-mit-saumaufschlag-skinny-ts-01.jpg,https://pic.gerryweber.com/static/i/11_420018-19095_85300_01/pdmain/jeans-mit-saumaufschlag-skinny-ts-01.jpg,Hosen
