id,name,variant,price,brand,image_name,image_url,category
WW0WW32437DW5,Ärmellose Bluse aus reinem Leinen,desert sky,79.9,tommy hilfiger,WW0WW32437_DW5_main,https://tommy-europe.scene7.com/is/image/TommyEurope/WW0WW32437_DW5_main?$main$,Oberteile
DW0DW09799PJ4,Ärmelloser Hoodie mit Logo und Reißverschluss,silver grey htr,99.9,tommy hilfiger,DW0DW09799_PJ4_main,https://tommy-europe.scene7.com/is/image/TommyEurope/DW0DW09799_PJ4_main?$main$,Oberteile
WW0WW306430KS,Ärmelloses Faltenkleid in Midi-Länge,"fireworks, dsrt sky, wht colorblock",179.0,tommy hilfiger,WW0WW30643_0KS_main,https://tommy-europe.scene7.com/is/image/TommyEurope/WW0WW30643_0KS_main?$main$,Kleider
DW0DW097810AX,Ärmelloses gestreiftes Cropped Fit Top,black stripe,44.9,tommy hilfiger,DW0DW09781_0AX_main,https://tommy-europe.scene7.com/is/image/TommyEurope/DW0DW09781_0AX_main?$main$,Tops
KG0KG05828C87,Ärmelloses Kleid,twilight navy,74.9,tommy hilfiger,KG0KG05828_C87_main,https://tommy-europe.scene7.com/is/image/TommyEurope/KG0KG05828_C87_main?$main$,Kleider
WW0WW304970Y6,Ärmelloses Kleid mit Nadelstreifen,"wide pinstripe stp, desert sky",179.0,tommy hilfiger,WW0WW30497_0Y6_main,https://tommy-europe.scene7.com/is/image/TommyEurope/WW0WW30497_0Y6_main?$main$,Kleider
KG0KG05819DW9,Ärmelloses Kleid mit Neon-Streifen,bluefish,74.9,tommy hilfiger,KG0KG05819_DW9_main,https://tommy-europe.scene7.com/is/image/TommyEurope/KG0KG05819_DW9_main?$main$,Kleider
KN0KN01297YBR,Ärmelloses Kleid mit Streifen,white,69.9,tommy hilfiger,KN0KN01297_YBR_main,https://tommy-europe.scene7.com/is/image/TommyEurope/KN0KN01297_YBR_main?$main$,Kleider
KG0KG05823C87,Ärmelloses Maxi-Kleid,twilight navy,84.9,tommy hilfiger,KG0KG05823_C87_main,https://tommy-europe.scene7.com/is/image/TommyEurope/KG0KG05823_C87_main?$main$,Kleider
DW0DW10119BDS,Ärmelloses Poloshirt mit Tommy-Badge,black,49.9,tommy hilfiger,DW0DW10119_BDS_main,"https://tommy-europe.scene7.
com/is/image/TommyEurope/DW0DW10119_BDS_main?$main$",Oberteile
KG0KG05787C87,Ärmelloses Skater-Kleid,twilight navy,64.9,tommy hilfiger,KG0KG05787_C87_main,https://tommy-europe.scene7.com/is/image/TommyEurope/KG0KG05787_C87_main?$main$,Kleider
KG0KG05853C1S,Ärmelloses Streifen-Top aus Bio-Baumwolle,calm blue,49.9,tommy hilfiger,KG0KG05853_C1S_main,https://tommy-europe.scene7.com/is/image/TommyEurope/KG0KG05853_C1S_main?$main$,Tops
WW0WW309410GY,Ärmelloses Strick-Poloshirt mit Wappen,"yale navy, multi",130.0,tommy hilfiger,WW0WW30941_0GY_main,https://tommy-europe.scene7.com/is/image/TommyEurope/WW0WW30941_0GY_main?$main$,Oberteile
UW0UW02895DW5,Ärmelloses Tank-Nachthemd mit Logo,desert sky,54.9,tommy hilfiger,UW0UW02895_DW5_main,https://tommy-europe.scene7.com/is/image/TommyEurope/UW0UW02895_DW5_main?$main$,Oberteile
MW0MW17770BDS,1985 Regular Fit Poloshirt,black,69.9,tommy hilfiger,MW0MW17770_BDS_main,https://tommy-europe.scene7.com/is/image/TommyEurope/MW0MW17770_BDS_main?$main$,Oberteile
MW0MW17771BDS,1985 Slim Fit Poloshirt,black,69.9,tommy hilfiger,MW0MW17771_BDS_main,https://tommy-europe.scene7.com/is/image/TommyEurope/MW0MW17771_BDS_main?$main$,Oberteile
SOM4819850300,einer-Pack Socken mit Flag,white,10.0,tommy hilfiger,SOM4819850_300_main,https://tommy-europe.scene7.com/is/image/TommyEurope/SOM4819850_300_main?$main$,Socken
S100002925004,zweier-Pack Ballerina-Socken,white,10.0,tommy hilfiger,S100002925_004_main,https://tommy-europe.scene7.com/is/image/TommyEurope/S100002925_004_main?$main$,Schuhe
UG0UG002640VJ,zweier-Pack Baumwoll-Langarmshirts,"rose tan, white",29.9,tommy hilfiger,UG0UG00264_0VJ_main,https://tommy-europe.scene7.com/is/image/TommyEurope/UG0UG00264_0VJ_main?$main$,Oberteile
UB0UB003140TM,zweier-Pack Baumwoll-T-Shirts,"luminous blue, primary green",28.9,tommy hilfiger,UB0UB00314_0TM_main,https://tommy-europe.scene7.com/is/image/TommyEurope/UB0UB00314_0TM_main?$main$,Oberteile
UG0UG003070U9,zweier-Pack Baumwoll-T-Shirts,"white, desert sky",26.9,tommy hilfiger,UG0UG00307_0U9_main,https://tommy-europe.scene7.com/is/image/TommyEurope/UG0UG00307_0U9_main?$main$,Oberteile
S100002319001,zweier-Pack Baumwollsocken mit Flag,white,7.0,tommy hilfiger,S100002319_001_main,https://tommy-europe.scene7.com/is/image/TommyEurope/S100002319_001_main?$main$,Socken
UG0UG003680Y2,zweier-Pack Bio-Baumwoll-Bralettes,"klu, cursive, aop, luminous blue",27.9,tommy hilfiger,UG0UG00368_0Y2_main,https://tommy-europe.scene7.com/is/image/TommyEurope/UG0UG00368_0Y2_main?$main$,Unterwäsche
UG0UG003710VZ,zweier-Pack Bio-Baumwoll-Bralettes,"klu, multi, star, aop, hamptons pink",27.9,tommy hilfiger,UG0UG00371_0VZ_main,https://tommy-europe.scene7.com/is/image/TommyEurope/UG0UG00371_0VZ_main?$main$,Unterwäsche
UG0UG003810WD,zweier-Pack Bio-Baumwoll-Bralettes,"primary red, desert sky",27.9,tommy hilfiger,UG0UG00381_0WD_main,https://tommy-europe.scene7.com/is/image/TommyEurope/UG0UG00381_0WD_main?$main$,Unterwäsche
UG0UG003820WD,zweier-Pack Bio-Baumwoll-Slips mit Logo,"primary red, desert sky",21.9,tommy hilfiger,UG0UG00382_0WD_main,https://tommy-europe.scene7.com/is/image/TommyEurope/UG0UG00382_0WD_main?$main$,Unterwäsche
UG0UG003700Y2,zweier-Pack Bio-Baumwoll-Slips mit Stretch,"klu, cursive, aop, luminous blue",21.9,tommy hilfiger,UG0UG00370_0Y2_main,https://tommy-europe.scene7.com/is/image/TommyEurope/UG0UG00370_0Y2_main?$main$,Unterwäsche
UG0UG003730VZ,zweier-Pack Bio-Baumwoll-Slips mit Stretch,"klu, multi, star, aop, hamptons pink",21.9,tommy hilfiger,UG0UG00373_0VZ_main,https://tommy-europe.scene7.com/is/image/TommyEurope/UG0UG00373_0VZ_main?$main$,Unterwäsche
UG0UG003720VZ,zweier-Pack Bio-Baumwoll-Slips,"klu, multi, star, aop, hamptons pink",24.9,tommy hilfiger,UG0UG00372_0VZ_main,https://tommy-europe.scene7.com/is/image/TommyEurope/UG0UG00372_0VZ_main?$main$,Unterwäsche
UB0UB003640Y4,zweier-Pack Bio-Baumwoll-Trunks mit Stern-Print,"klu, multi, star, aop, desert sky",26.9,tommy hilfiger,UB0UB00364_0Y4_main,https://tommy-europe.scene7.com/is/image/TommyEurope/UB0UB00364_0Y4_main?$main$,Unterwäsche
UB0UB003270TA,zweier-Pack Bio-Baumwoll-Trunks mit Tommy-Tape,"medium grey htr, desert sky",26.9,tommy hilfiger,UB0UB00327_0TA_main,https://tommy-europe.scene7.com/is/image/TommyEurope/UB0UB00327_0TA_main?$main$,Unterwäsche
UB0UB002890U9,zweier-Pack Bio-Baumwoll-Trunks,"white, desert sky",26.9,tommy hilfiger,UB0UB00289_0U9_main,https://tommy-europe.scene7.com/is/image/TommyEurope/UB0UB00289_0U9_main?$main$,Unterwäsche
UB0UB002910TY,zweier-Pack Bio-Baumwoll-Trunks,"ag, tennis, stripe, aop, country club",24.9,tommy hilfiger,UB0UB00291_0TY_main,https://tommy-europe.scene7.com/is/image/TommyEurope/UB0UB00291_0TY_main?$main$,Unterwäsche
UB0UB002930UG,zweier-Pack Bio-Baumwoll-Trunks,"army green stripe, desert sky",24.9,tommy hilfiger,UB0UB00293_0UG_main,https://tommy-europe.scene7.com/is/image/TommyEurope/UB0UB00293_0UG_main?$main$,Unterwäsche
UB0UB003870SN,zweier-Pack Boxer-Shorts aus Bio-Baumwolle,"desert sky, primary red",24.9,tommy hilfiger,UB0UB00387_0SN_main,https://tommy-europe.scene7.com/is/image/TommyEurope/UB0UB00387_0SN_main?$main$,Hosen
UM0UM021880U4,zweier-Pack Boxer-Shorts aus Bio-Baumwolle,"aquaticteal, desertsky",39.9,tommy hilfiger,UM0UM02188_0U4_main,https://tommy-europe.scene7.com/is/image/TommyEurope/UM0UM02188_0U4_main?$main$,Hosen
UB0UB003880TZ,zweier-Pack Boxer-Shorts mit mehrfarbigem Print,"klu, fresh, stripe, primary green",24.9,tommy hilfiger,UB0UB00388_0TZ_main,https://tommy-europe.scene7.com/is/image/TommyEurope/UB0UB00388_0TZ_main?$main$,Hosen
UG0UG003450U9,zweier-Pack Bralettes aus Bio-Baumwolle,"white, desert sky",27.9,tommy hilfiger,UG0UG00345_0U9_main,https://tommy-europe.scene7.com/is/image/TommyEurope/UG0UG00345_0U9_main?$main$,Unterwäsche
UG0UG004580Y4,zweier-Pack Bralettes aus Stretch-Bio-Baumwolle,"klu, multi, star, aop, desert sky",27.9,tommy hilfiger,UG0UG00458_0Y4_main,https://tommy-europe.scene7.com/is/image/TommyEurope/UG0UG00458_0Y4_main?$main$,Unterwäsche
UG0UG004860TZ,zweier-Pack Bralettes mit Streifen,"klu, fresh, stripe, primary green",27.9,tommy hilfiger,UG0UG00486_0TZ_main,https://tommy-europe.scene7.com/is/image/TommyEurope/UG0UG00486_0TZ_main?$main$,Unterwäsche
1MAL000011758,zweier-Pack Damensocken mit Rautenkaro,middle grey melange,12.0,tommy hilfiger,1MAL000011_758_main,https://tommy-europe.scene7.com/is/image/TommyEurope/1MAL000011_758_main?$main$,Socken
1MAL000023200,zweier-Pack Füßlinge,black,9.0,tommy hilfiger,1MAL000023_200_main,https://tommy-europe.scene7.com/is/image/TommyEurope/1MAL000023_200_main?$main$,Socken
FBA3425001200,zweier-Pack Füßlinge,black,10.0,tommy hilfiger,FBA3425001_200_main,https://tommy-europe.scene7.com/is/image/TommyEurope/FBA3425001_200_main?$main$,Socken
S100002662001,zweier-Pack Füßlinge mit Flag,black,10.0,tommy hilfiger,S100002662_001_main,https://tommy-europe.scene7.com/is/image/TommyEurope/S100002662_001_main?$main$,Socken
SOF3830240200,zweier-Pack Füßlinge mit Flag,black,10.0,tommy hilfiger,SOF3830240_200_main,https://tommy-europe.scene7.com/is/image/TommyEurope/SOF3830240_200_main?$main$,Socken
S100002663005,zweier-Pack Füßlinge mit Logo,white,10.0,tommy hilfiger,S100002663_005_main,https://tommy-europe.scene7.com/is/image/TommyEurope/S100002663_005_main?$main$,Socken
S100002819001,zweier-Pack Füßlinge mit Tommy-Tape,white,10.0,tommy hilfiger,S100002819_001_main,https://tommy-europe.scene7.com/is/image/TommyEurope/S100002819_001_main?$main$,Socken
S100000399001,zweier-Pack gepolsterte kurze Socken,white,10.0,tommy hilfiger,S100000399_001_main,https://tommy-europe.scene7.com/is/image/TommyEurope/S100000399_001_main?$main$,Socken
S100001493101,zweier-Pack gepunktete Socken,light blue,13.0,tommy hilfiger,S100001493_101_main,https://tommy-europe.scene7.com/is/image/TommyEurope/S100001493_101_main?$main$,Socken
S100002654001,zweier-Pack gepunktete Socken,grey yellow,13.0,tommy hilfiger,S100002654_001_main,https://tommy-europe.scene7.com/is/image/TommyEurope/S100002654_001_main?$main$,Socken
S100002390001,zweier-Pack gerippte Sneakersocken,white,10.0,tommy hilfiger,S100002390_001_main,https://tommy-europe.scene7.com/is/image/TommyEurope/S100002390_001_main?$main$,Schuhe
S100002648001,zweier-Pack gerippte Socken,mid grey melange,13.0,tommy hilfiger,S100002648_001_main,https://tommy-europe.scene7.com/is/image/TommyEurope/S100002648_001_main?$main$,Socken
S100002681004,zweier-Pack gerippte Socken,navy,13.0,tommy hilfiger,S100002681_004_main,https://tommy-europe.scene7.com/is/image/TommyEurope/S100002681_004_main?$main$,Socken
S100002387003,zweier-Pack gestreifte Füßlinge mit Ombré-Design,mint combo,10.0,tommy hilfiger,S100002387_003_main,https://tommy-europe.scene7.com/is/image/TommyEurope/S100002387_003_main?$main$,Socken
S100002384001,zweier-Pack gestreifte Füßlinge,white,13.0,tommy hilfiger,S100002384_001_main,https://tommy-europe.scene7.com/is/image/TommyEurope/S100002384_001_main?$main$,Socken
S100002383002,zweier-Pack gestreifte Knöchelsocken,light blue,13.0,tommy hilfiger,S100002383_002_main,https://tommy-europe.scene7.com/is/image/TommyEurope/S100002383_002_main?$main$,Socken
S100002391001,zweier-Pack gestreifte Rippstrick-Socken,white,13.0,tommy hilfiger,S100002391_001_main,https://tommy-europe.scene7.com/is/image/TommyEurope/S100002391_001_main?$main$,Socken
SOM3820000101,zweier-Pack gestreifte Sneakersocken,white combo,10.0,tommy hilfiger,SOM3820000_101_main,https://tommy-europe.scene7.com/is/image/TommyEurope/SOM3820000_101_main?$main$,Schuhe
S100001494001,zweier-Pack gestreifte Socken,black,13.0,tommy hilfiger,S100001494_001_main,https://tommy-europe.scene7.com/is/image/TommyEurope/S100001494_001_main?$main$,Socken
S100001496012,zweier-Pack gestreifte Socken,highland khaki,13.0,tommy hilfiger,S100001496_012_main,https://tommy-europe.scene7.com/is/image/TommyEurope/S100001496_012_main?$main$,Socken
S100002311001,zweier-Pack gestreifte Socken,tommy original,9.0,tommy hilfiger,S100002311_001_main,https://tommy-europe.scene7.com/is/image/TommyEurope/S100002311_001_main?$main$,Socken
UM0UM020050RU,zweier-Pack gewebte Boxer-Shorts mit Print,"primary green, primary red",44.9,tommy hilfiger,UM0UM02005_0RU_main,https://tommy-europe.scene7.com/is/image/TommyEurope/UM0UM02005_0RU_main?$main$,Hosen
S100000814001,zweier-Pack glitzernde Stricksocken,navy,9.0,tommy hilfiger,S100000814_001_main,https://tommy-europe.scene7.com/is/image/TommyEurope/S100000814_001_main?$main$,Socken
SOM4710100085,zweier-Pack Iconic Baumwollmix-Socken,tommy original,13.0,tommy hilfiger,SOM4710100_085_main,https://tommy-europe.scene7.com/is/image/TommyEurope/SOM4710100_085_main?$main$,Socken
S100001096200,zweier-Pack Iconic Socken,black,13.0,tommy hilfiger,S100001096_200_main,https://tommy-europe.scene7.com/is/image/TommyEurope/S100001096_200_main?$main$,Socken
SOU3940010085,zweier-Pack Kids Color Block-Füßlinge,tommy original,8.0,tommy hilfiger,SOU3940010_085_main,https://tommy-europe.scene7.com/is/image/TommyEurope/SOU3940010_085_main?$main$,Socken
SOU3940200300,zweier-Pack Kids Flag-Socken,white,10.0,tommy hilfiger,SOU3940200_300_main,https://tommy-europe.scene7.com/is/image/TommyEurope/SOU3940200_300_main?$main$,Socken
E5AL000020563,"zweier-Pack Kids gestreifte, kurze Socken",midnight blue,8.0,tommy hilfiger,E5AL000020_563_main,https://tommy-europe.scene7.com/is/image/TommyEurope/E5AL000020_563_main?$main$,Socken
E5AL000019200,zweier-Pack Kids gestreifte Socken,black,9.0,tommy hilfiger,E5AL000019_200_main,https://tommy-europe.scene7.com/is/image/TommyEurope/E5AL000019_200_main?$main$,Socken
E5A3391334200,zweier-Pack Kids klassische Socken,black,9.0,tommy hilfiger,E5A3391334_200_main,https://tommy-europe.scene7.com/is/image/TommyEurope/E5A3391334_200_main?$main$,Socken
SOU3740200200,zweier-Pack Kids kurze Socken,black,8.0,tommy hilfiger,SOU3740200_200_main,https://tommy-europe.scene7.com/is/image/TommyEurope/SOU3740200_200_main?$main$,Socken
E5A3413001563,zweier-Pack Kindersocken,midnight blue,9.0,tommy hilfiger,E5A3413001_563_main,https://tommy-europe.scene7.com/is/image/TommyEurope/E5A3413001_563_main?$main$,Socken
08A1371111200,zweier-Pack klassische Socken,black,13.0,tommy hilfiger,08A1371111_200_main,https://tommy-europe.scene7.com/is/image/TommyEurope/08A1371111_200_main?$main$,Socken
S100002396003,zweier-Pack Knöchelsocken mit Wabenstrick,navy,13.0,tommy hilfiger,S100002396_003_main,https://tommy-europe.scene7.com/is/image/TommyEurope/S100002396_003_main?$main$,Socken
S100002398001,zweier-Pack Knöchelsocken mit Waffel-Struktur,white,13.0,tommy hilfiger,S100002398_001_main,https://tommy-europe.scene7.com/is/image/TommyEurope/S100002398_001_main?$main$,Socken
UB0UB003100S0,zweier-Pack kurzärmelige T-Shirts,"desert sky, white",26.9,tommy hilfiger,UB0UB00310_0S0_main,https://tommy-europe.scene7.com/is/image/TommyEurope/UB0UB00310_0S0_main?$main$,Oberteile
09A3425001100,zweier-Pack kurze Socken,light grey melange,10.0,tommy hilfiger,09A3425001_100_main,https://tommy-europe.scene7.com/is/image/TommyEurope/09A3425001_100_main?$main$,Socken
S100002212001,zweier-Pack kurze Socken mit Breton-Streifen,white,10.0,tommy hilfiger,S100002212_001_main,https://tommy-europe.scene7.com/is/image/TommyEurope/S100002212_001_main?$main$,Socken
SOF3730010563,zweier-Pack kurze Stretch-Baumwoll-Socken,midnight blue,9.0,tommy hilfiger,SOF3730010_563_main,https://tommy-europe.scene7.com/is/image/TommyEurope/SOF3730010_563_main?$main$,Socken
UB0UB003090S0,zweier-Pack Langarmshirts,"desert sky, white",29.9,tommy hilfiger,UB0UB00309_0S0_main,https://tommy-europe.scene7.com/is/image/TommyEurope/UB0UB00309_0S0_main?$main$,Oberteile
UB0UB003410ST,zweier-Pack Logo-Trunk aus Stretch-Baumwolle,"desert sky, desert sky",22.9,tommy hilfiger,UB0UB00341_0ST_main,https://tommy-europe.scene7.com/is/image/TommyEurope/UB0UB00341_0ST_main?$main$,Unterwäsche
S100000853001,zweier-Pack Metallic-Rippstrick-Socken,"navy, blue",13.0,tommy hilfiger,S100000853_001_main,https://tommy-europe.scene7.com/is/image/TommyEurope/S100000853_001_main?$main$,Socken
09A3421001200,zweier-Pack Rugby-Socken,black,13.0,tommy hilfiger,09A3421001_200_main,https://tommy-europe.scene7.com/is/image/TommyEurope/09A3421001_200_main?$main$,Socken
DM0DM107050XS,zweier-Pack Slim Fit T-Shirts aus Bio-Baumwolle,"white, white",49.9,tommy hilfiger,DM0DM10705_0XS_main,https://tommy-europe.scene7.com/is/image/TommyEurope/DM0DM10705_0XS_main?$main$,Oberteile
UG0UG004600Y4,zweier-Pack Slips aus Bio-Baumwolle mit Print,"klu, multi, star, aop, desert sky",24.9,tommy hilfiger,UG0UG00460_0Y4_main,https://tommy-europe.scene7.com/is/image/TommyEurope/UG0UG00460_0Y4_main?$main$,Unterwäsche
UG0UG004590Y4,zweier-Pack Slips aus Bio-Baumwolle mit Stretch,"klu, multi, star, aop, desert sky",21.9,tommy hilfiger,UG0UG00459_0Y4_main,https://tommy-europe.scene7.com/is/image/TommyEurope/UG0UG00459_0Y4_main?$main$,Unterwäsche
UG0UG003480U9,zweier-Pack Slips aus Bio-Baumwolle,"white, desert sky",21.9,tommy hilfiger,UG0UG00348_0U9_main,https://tommy-europe.scene7.com/is/image/TommyEurope/UG0UG00348_0U9_main?$main$,Unterwäsche
