id,name,variant,price,brand
N1241G08O-H12,kapuzenpullover,arctic orange,51.95,nike performance
NI122S0EF-Q11,sweatshirt,black,49.95,nike sportswear
N1242E11D-K13,kurze sporthose,obsidianuniversity reduniversity red,18.74,nike performance
NI121A0FA-E11,jogginghose,iced lilac,40.95,nike sportswear
N1242E1G3-Q11,jogginghose,black,42.45,nike performance
N1241D1I4-G11,tshirt print,canyon rust,26.95,nike performance
NI153I00Q-Q11,schulranzen set,blackwhite,19.55,nike sportswear
N1243A13Q-A11,fussballschuh halle,whitepink blastblack,54.99,nike performance
N1243A142-A11,laufschuh neutral,whiteflash crimsonhyper jadeblackvapor green,52.45,nike performance
N1241E1BK-G11,tights,canyon rustwhite,27.95,nike performance
N1243D1EF-G11,vereinsmannschaften,noble redamarillo,23.95,nike performance
NI121S03V-Q11,funktionsshirt,blackgrey heatherwhitewhite,29.99,nike sportswear
NI121A0FJ-Q11,hosen,black,29.95,nike sportswear
NI123K01G-Q12,kapuzenpullover,blackbarely volt,37.95,nike sportswear
NI121D0EF-J13,tshirt print,fireberrywhite,19.99,nike sportswear
NI121D0EF-J14,tshirt print,desert berrywhite,19.92,nike sportswear
NI121D0EF-J12,tshirt print,cactus flower,21.15,nike sportswear
N1242D3M5-Q11,tshirt print,blacklava glowlava glow,59.99,nike performance
NI126L00R-Q13,uebergangsjacke,blackmetallic gold,83.95,nike sportswear
N1241D1GF-I11,funktionsshirt,fireberry,22.45,nike performance
NI111A0NY-J11,sneaker low,atomic pinkblackwhitemelon tintvapor greenvolt,123.25,nike sportswear
NI126L00R-Q12,uebergangsjacke,blackwhite,77.95,nike sportswear
NI115O00J-A11,sneaker low,whiteblackphantomdark greyteam orange,53.95,nike sportswear
NI115O00J-A12,sneaker low,sailtrack redwhitehabanero redobsidian,80.99,nike sportswear
NI123G03C-A11,tshirt print,whitesunset pulse,20.65,nike sportswear
N1242L08C-A11,fussball,weissgruensilber,34.95,nike performance
N1241N060-Q11,tagesrucksack,blackwhite,37.78,nike performance
N1243E0Q6-Q11,kurze sporthose,blacktotal orange,21.15,nike performance
NI126L00R-Q11,uebergangsjacke,blackarctic pink,77.95,nike sportswear
N1241G09F-G11,funktionsshirt,canyon rustblack,39.95,nike performance
N1243A15Y-G11,fussballschuh multinocken,bright crimsonmetallic silver,55.95,nike performance
NI116D07R-A11,sneaker low,white white black flash crimson,59.88,nike sportswear
NI122O0N2-G11,tshirt print,university redblack,22.45,nike sportswear
N1222F006-A11,shorts,weiss schwarz,29.9,nike performance
N1242E1H7-C11,jogginghose,dk smoke greytotal orangetotal orange,45.0,nike performance
N1242D3RD-L11,tshirt print,purplewhite,17.45,nike performance
N1243L00F-G11,sportkleid,sunblushwhite,38.15,nike performance
NI114D0EW-A12,sneaker low,whitepurplewatermelongrey fog,70.0,nike sportswear
NI114D0EW-A11,sneaker low,whiteblackoracle aquapollen rise,47.95,nike sportswear
N1241I0AR-Q11,sportbh leichter stuetzkraft,blackchlorine blue,26.15,nike performance
N1244E03J-Q11,schweissband,blackwhite,19.95,nike performance
NI441D022-G11,funktionsshirt,villain redblackwhite,51.95,nike golf
N1242D3PW-H11,tshirt basic,multicolor,20.79,nike performance
NI114D0EW-A13,sneaker low,whitegym redpacific blue,70.0,nike sportswear
N1244D0BF-T11,sportsocken,multicolor,9.55,nike performance
NI113D0A6-Q12,sneaker low,blackwhite,64.95,nike sportswear
NI113D0A6-Q11,sneaker low,blackwhite,54.95,nike sportswear
NI113D0A6-Q13,sneaker low,blacklight arctic pinkwhitedark sulfur,64.99,nike sportswear
N1242E1LX-K11,jogginghose,obsidianwhite,44.95,nike performance
NI113D0A6-Q15,sneaker low,blackmetallic silversunset pulse,64.95,nike sportswear
N1243A123-G11,fussballschuh halle,laser crimsonmetallic silverblack,59.28,nike performance
N1242F0O6-A11,vereinsmannschaften,whitewolf greyblack,64.95,nike performance
N1241A0YO-B11,trainingsfitnessschuh,platinum tintmetallic red bronze,48.45,nike performance
NI112N01H-M11,sneaker high,sequoiasequoiablackteam red,129.94,nike sportswear
N1242L07Z-Q11,tagesrucksack,schwarz,34.95,nike performance
N1241G08T-K11,fleecepullover,world indigometallic silver,46.65,nike performance
N1243E0NR-N11,jogginghose,cargo khakiwhite,49.95,nike performance
N1242L07P-K11,cap,blau,24.95,nike performance
NI121J0GS-K11,sweatshirt,ghost,59.95,nike sportswear
N1242D316-K12,vereinsmannschaften,sport royalchallenge red,44.95,nike performance
N1242A1SF-A12,fussballschuh nocken,whitephoton dusthyper jadeflash crimson,68.66,nike performance
N1242D316-K11,vereinsmannschaften,midnight navychallenge red,40.45,nike performance
NI111A0O6-A11,sneaker low,whitesailstoneatomic pink,110.0,nike sportswear
N1242A26D-A11,fussballschuh nocken,whiteblackmetallic silvervolt,89.95,nike performance
N1243D1C6-Q11,nationalmannschaft,blackbright blue,39.95,nike performance
N1241A0WT-Q11,laufschuh neutral,blackwhitethunder grey,79.95,nike performance
N1242D3KO-C11,tshirt basic,sequoiablack,29.95,nike performance
N1242D3KO-C12,tshirt basic,iron grey black,23.95,nike performance
NI124D02K-E11,shorts,volt,29.95,nike sportswear
NI122O0OP-A11,tshirt print,weiss,29.95,nike sportswear
N1241E1AX-Q11,tights,blackwhite,39.95,nike performance
N1243B0IX-K15,badesandale,signal bluewhiteblue voidblack,34.95,nike performance
N1241E1AX-Q12,tights,hastawhite,49.95,nike performance
N1242G0N1-C11,trainingsjacke,anthraciteblackwhite,103.95,nike performance
